epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8485.51,0.79141,0.66454,1.20259,0.84542,0.88509,0.91071,0.72899,0.81466,0.57222,1.21814,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8746.44,0.78776,0.65421,1.20196,0.86147,0.87625,0.91144,0.73453,0.80764,0.56661,1.21012,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9006.25,0.78836,0.65867,1.19899,0.89563,0.84216,0.91481,0.73557,0.80123,0.56251,1.20871,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9269.35,0.78071,0.64974,1.19448,0.85584,0.87816,0.91603,0.73724,0.80015,0.55879,1.20564,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9530.24,0.77456,0.64486,1.18958,0.85142,0.89203,0.91721,0.73746,0.80145,0.55984,1.20662,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9791.65,0.77128,0.63536,1.18725,0.88337,0.86106,0.9168,0.73764,0.79938,0.55544,1.2056,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10054.1,0.76655,0.62899,1.18584,0.89035,0.85794,0.91748,0.73904,0.79934,0.55322,1.20379,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10283.5,0.76728,0.6253,1.18423,0.88582,0.86679,0.91645,0.74005,0.79668,0.54863,1.20077,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10514,0.75743,0.62293,1.17924,0.89572,0.85605,0.91509,0.74078,0.79505,0.54897,1.19904,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10767.5,0.7569,0.61826,1.17759,0.89718,0.85915,0.91718,0.74048,0.79406,0.54436,1.19922,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11043.4,0.75506,0.61418,1.17571,0.89228,0.85539,0.91781,0.7406,0.79183,0.54057,1.19677,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11312.6,0.7453,0.60445,1.17078,0.89175,0.85738,0.91748,0.74232,0.78863,0.53761,1.19502,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11584.3,0.74342,0.60156,1.16756,0.89438,0.85716,0.91804,0.74225,0.78746,0.53522,1.19353,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11850.8,0.73442,0.59112,1.16639,0.87793,0.86764,0.91767,0.74289,0.78458,0.53406,1.19136,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12116.4,0.73044,0.58797,1.16258,0.88828,0.86022,0.91755,0.74447,0.78123,0.53334,1.18924,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12359.4,0.73209,0.58748,1.1624,0.8956,0.85404,0.91743,0.74223,0.77963,0.53218,1.18823,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12620.1,0.73155,0.58219,1.15908,0.89835,0.85689,0.91728,0.74408,0.78019,0.53215,1.18922,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12886,0.72511,0.58077,1.15776,0.89893,0.8556,0.9175,0.74483,0.77865,0.53169,1.18755,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13149.6,0.72442,0.57847,1.15687,0.89784,0.85828,0.91805,0.74594,0.77808,0.53048,1.18714,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13405.9,0.71385,0.56948,1.15365,0.89114,0.86112,0.91783,0.74659,0.77812,0.52922,1.18721,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13669.1,0.7186,0.56501,1.15048,0.89109,0.86005,0.91801,0.74659,0.7764,0.52728,1.18554,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13933,0.71021,0.56269,1.14663,0.89167,0.86235,0.91805,0.74664,0.77601,0.5264,1.18431,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14194.8,0.70696,0.55783,1.14454,0.89232,0.86136,0.91878,0.747,0.77544,0.526,1.18397,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14457.4,0.70501,0.55161,1.14262,0.89156,0.86286,0.91926,0.7478,0.77537,0.52428,1.18476,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14705.4,0.69991,0.54773,1.14031,0.89029,0.86506,0.9195,0.74762,0.77403,0.52317,1.18369,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14933.3,0.69665,0.54327,1.13758,0.89387,0.86132,0.91976,0.74764,0.77301,0.52315,1.1833,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15154.2,0.69067,0.53846,1.13341,0.89685,0.86088,0.92006,0.7478,0.77333,0.52288,1.18438,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15376.7,0.68615,0.53639,1.13075,0.89512,0.86215,0.91924,0.7482,0.7728,0.52263,1.18411,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15595.1,0.68343,0.52952,1.13084,0.8973,0.8598,0.9194,0.74815,0.77189,0.52201,1.18297,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15816.9,0.67828,0.5288,1.12645,0.89613,0.86126,0.91932,0.74852,0.77192,0.52174,1.18256,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16029.8,0.67867,0.52545,1.1275,0.8928,0.86263,0.91984,0.74906,0.77171,0.52119,1.18227,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,16247.3,0.66901,0.51656,1.1207,0.89119,0.86405,0.92019,0.74813,0.77153,0.52014,1.18212,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16508.3,0.66516,0.51354,1.11858,0.86448,0.88765,0.92034,0.74788,0.77104,0.51947,1.1818,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16763.7,0.66157,0.50859,1.11496,0.86403,0.88838,0.92067,0.74815,0.7709,0.51818,1.18168,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17020.9,0.66205,0.50387,1.11533,0.86439,0.88946,0.92005,0.74859,0.77055,0.51684,1.18109,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,17332.5,0.65856,0.5053,1.11303,0.86189,0.89417,0.92016,0.74901,0.77049,0.51582,1.181,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17641.1,0.65599,0.49768,1.1111,0.86258,0.89539,0.92097,0.74914,0.77036,0.51492,1.18085,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17948.3,0.65071,0.49357,1.10839,0.86163,0.89624,0.92089,0.75036,0.76997,0.51391,1.18054,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,18248.2,0.64553,0.49226,1.10612,0.8605,0.89918,0.92066,0.75043,0.76974,0.51288,1.18019,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,18559.5,0.64522,0.48961,1.10535,0.86108,0.89845,0.92026,0.75025,0.76948,0.51184,1.17974,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18809.6,0.64196,0.48919,1.10356,0.86368,0.89242,0.9197,0.75014,0.76909,0.51111,1.17953,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,19105.2,0.63595,0.47976,1.10078,0.86117,0.89438,0.91925,0.74955,0.76899,0.51044,1.17948,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,19403.7,0.64168,0.48156,1.10138,0.8669,0.88808,0.91872,0.74966,0.76846,0.50982,1.17924,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,19702.1,0.62119,0.47097,1.09222,0.86855,0.88847,0.91902,0.74976,0.76831,0.50937,1.17947,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,20003.4,0.61716,0.46273,1.09113,0.8695,0.88856,0.91913,0.75001,0.76797,0.50849,1.17934,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,20312.7,0.61969,0.4644,1.0879,0.87082,0.88889,0.91855,0.75026,0.76781,0.50797,1.17934,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,20617.9,0.61295,0.46175,1.08549,0.87072,0.89016,0.91838,0.75022,0.76746,0.50776,1.17915,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,20923.6,0.61307,0.45647,1.08553,0.87318,0.89092,0.9185,0.75008,0.76726,0.50707,1.17897,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,21233,0.60708,0.45525,1.08206,0.86796,0.89482,0.91799,0.7503,0.76665,0.50674,1.17795,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,21486.8,0.61036,0.45098,1.085,0.87009,0.8937,0.91828,0.75039,0.7668,0.5071,1.17842,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,21807.4,0.60462,0.4495,1.07986,0.87476,0.89189,0.91929,0.75074,0.76696,0.50655,1.17843,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,22123,0.59584,0.44049,1.07571,0.87448,0.89284,0.91943,0.75089,0.76641,0.50631,1.17811,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,22433.7,0.59184,0.43999,1.07639,0.86914,0.89967,0.91985,0.75155,0.76647,0.50607,1.17837,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,22749.1,0.59345,0.43869,1.07369,0.86846,0.89914,0.91985,0.75225,0.76619,0.50536,1.17837,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23059.5,0.58439,0.43043,1.07004,0.87029,0.8986,0.91974,0.75204,0.76612,0.50461,1.17862,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,23368.9,0.58633,0.43012,1.06988,0.88051,0.88778,0.91935,0.75172,0.76597,0.50423,1.17852,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,23678.6,0.58073,0.42739,1.06599,0.88125,0.88678,0.91856,0.7517,0.76583,0.50367,1.17879,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,23986,0.57589,0.42156,1.06447,0.88117,0.88747,0.91857,0.75163,0.76568,0.50324,1.17884,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,24222,0.56973,0.41709,1.0629,0.87641,0.89198,0.91854,0.75153,0.76547,0.50288,1.17873,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,24462.3,0.50288,0.33639,1.03598,0.87586,0.89256,0.91842,0.75097,0.765,0.50247,1.17852,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,24689.6,0.48917,0.32153,1.02426,0.8753,0.89164,0.91735,0.75149,0.76451,0.50208,1.17845,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,24917,0.48112,0.31225,1.0203,0.87659,0.89129,0.91711,0.7519,0.76407,0.50107,1.17847,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,25143.5,0.47508,0.31055,1.01821,0.87814,0.88969,0.91721,0.75233,0.76364,0.50041,1.17796,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,25369.8,0.46848,0.30343,1.01236,0.88117,0.88932,0.91715,0.75293,0.76345,0.50006,1.17802,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,25595.5,0.46243,0.29841,1.00681,0.88388,0.88755,0.91703,0.75288,0.76365,0.4997,1.17855,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,25821.4,0.45688,0.29487,1.00478,0.88437,0.8886,0.91723,0.75305,0.76352,0.4992,1.17885,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,26046.9,0.4505,0.2901,1.00104,0.88285,0.88951,0.91792,0.75298,0.76296,0.49894,1.1787,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,26262.4,0.44572,0.2883,0.99578,0.88244,0.89064,0.91732,0.75321,0.76296,0.49854,1.17909,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,26471.8,0.43973,0.28291,0.99407,0.88311,0.88982,0.91676,0.75369,0.76281,0.49854,1.17956,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
